,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2019-03-16 16:00:00+00:00,681.5704959999999,706.2942659999999,765.548667,810.832525,815.5946990000001,777.1901720000001,724.095641,688.378808,659.9646009999999,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999
2019-03-16 16:15:00+00:00,706.2942659999999,765.548667,810.832525,815.5946990000001,777.1901720000001,724.095641,688.378808,659.9646009999999,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098
2019-03-16 16:30:00+00:00,765.548667,810.832525,815.5946990000001,777.1901720000001,724.095641,688.378808,659.9646009999999,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846
2019-03-16 16:45:00+00:00,810.832525,815.5946990000001,777.1901720000001,724.095641,688.378808,659.9646009999999,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007
2019-03-16 17:00:00+00:00,815.5946990000001,777.1901720000001,724.095641,688.378808,659.9646009999999,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532
2019-03-16 17:15:00+00:00,777.1901720000001,724.095641,688.378808,659.9646009999999,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995
2019-03-16 17:30:00+00:00,724.095641,688.378808,659.9646009999999,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066
2019-03-16 17:45:00+00:00,688.378808,659.9646009999999,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999
2019-03-16 18:00:00+00:00,659.9646009999999,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001
2019-03-16 18:15:00+00:00,585.989266,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003
2019-03-16 18:30:00+00:00,487.8680470000001,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999
2019-03-16 18:45:00+00:00,345.83661700000005,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999,659.9946239999999
2019-03-16 19:00:00+00:00,271.56494900000007,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999,659.9946239999999,686.144832
2019-03-16 19:15:00+00:00,266.862134,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999,659.9946239999999,686.144832,735.8437460000001
2019-03-16 19:30:00+00:00,286.8132389999999,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999,659.9946239999999,686.144832,735.8437460000001,765.1604890000001
2019-03-16 19:45:00+00:00,311.2390429999999,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999,659.9946239999999,686.144832,735.8437460000001,765.1604890000001,739.2406899999999
2019-03-16 20:00:00+00:00,359.281098,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999,659.9946239999999,686.144832,735.8437460000001,765.1604890000001,739.2406899999999,640.407641
2019-03-16 20:15:00+00:00,385.881846,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999,659.9946239999999,686.144832,735.8437460000001,765.1604890000001,739.2406899999999,640.407641,606.0110430000001
2019-03-16 20:30:00+00:00,485.47464500000007,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999,659.9946239999999,686.144832,735.8437460000001,765.1604890000001,739.2406899999999,640.407641,606.0110430000001,555.2508720000001
2019-03-16 20:45:00+00:00,513.232532,492.86464199999995,456.765066,439.7662849999999,448.1704680000001,485.76547700000003,554.8955679999999,659.9946239999999,686.144832,735.8437460000001,765.1604890000001,739.2406899999999,640.407641,606.0110430000001,555.2508720000001,442.80572
